scenario_id,leak_exists,leak_start_time,leak_orifice_d_mm,leak_position_m,leak_onset_type,leak_onset_duration_s,pipe_length_m,pipe_diameter_m,pipe_roughness_m,fluid,P_inlet_Pa,P_outlet_Pa,demand_amplitude,sensor_P_noise_Pa,sensor_Q_noise,duration_s,notes
normal_0232,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,19672733.678923346,3649986.4766505244,0.04831284274576936,24164.333530619384,0.008542682479664646,1800.0,Normal operation with demand variation
leak_large_0036,1,855.046986316522,29.75,6693.7,sudden,0.0,10000.0,0.508,4.6e-05,crude_oil,2457446.305902445,1957446.3059024452,0.06539281780411443,30756.389790008474,0.0064739378296076126,1800.0,"large sudden leak at 6694 m, d=29.8 mm, start=855 s"
leak_medium_0138,1,266.6057149123872,14.39,5351.4,sudden,0.0,10000.0,0.508,4.6e-05,crude_oil,17407429.53524194,2027604.5819663275,0.034747080589935406,34919.04480948571,0.0032729419767237823,1800.0,"medium sudden leak at 5351 m, d=14.4 mm, start=267 s"
normal_0210,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,1946807.9781064135,1157861.2239407008,0.02743062091660225,12908.036253679411,0.009202224796923276,1800.0,Normal operation with demand variation
leak_medium_0140,1,851.81417386448,14.25,2309.5,ramp,141.6728478790793,10000.0,0.508,4.6e-05,crude_oil,11436459.257297643,2358252.6228125715,0.03339935528971643,20499.97698123918,0.007738485749651234,1800.0,"medium ramp leak at 2309 m, d=14.3 mm, start=852 s"
normal_0246,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,17219540.39560949,3079253.52955043,0.061030681060044584,18114.102381474368,0.004973690078636272,1800.0,Normal operation with demand variation
leak_medium_0060,1,629.5408164844034,11.85,7613.6,sudden,0.0,10000.0,0.508,4.6e-05,crude_oil,19278138.093629416,2479390.7143817553,0.06611101955593865,10932.525400240911,0.00778347198953537,1800.0,"medium sudden leak at 7614 m, d=11.9 mm, start=630 s"
normal_0165,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,1219739.956790677,719739.956790677,0.029323827155436535,23285.545636957075,0.002574377138880367,1800.0,Normal operation with demand variation
normal_0245,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,24233125.623102546,2507331.5523647876,0.07735163205133552,23956.374146907194,0.003759947514618091,1800.0,Normal operation with demand variation
leak_large_0059,1,490.237126135814,18.23,2369.6,sudden,0.0,10000.0,0.508,4.6e-05,crude_oil,1826519.3042095476,851910.9008453819,0.029446856519911496,38070.50918194128,0.008385346331178475,1800.0,"large sudden leak at 2370 m, d=18.2 mm, start=490 s"
normal_0059,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,8671666.688477669,1605937.1130663445,0.058072415897107835,38776.27818533727,0.008015704972599324,1800.0,Normal operation with demand variation
leak_medium_0109,1,628.6213853785592,11.95,4384.3,sudden,0.0,10000.0,0.508,4.6e-05,crude_oil,24127369.011811264,3753154.337698119,0.04980426684308385,16340.193797859349,0.0098243419232451,1800.0,"medium sudden leak at 4384 m, d=11.9 mm, start=629 s"
normal_0176,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,18940719.74168467,4336058.943457132,0.05561093554653153,20344.937781965134,0.005370241021466037,1800.0,Normal operation with demand variation
normal_0077,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,16311086.930262199,2070050.2519409421,0.07729390351134846,32605.136890007736,0.00904828841534296,1800.0,Normal operation with demand variation
normal_0202,0,,,,,,10000.0,0.508,4.6e-05,crude_oil,2050918.385659334,1550918.385659334,0.05441844012774254,21302.058346256403,0.008614098879159576,1800.0,Normal operation with demand variation
